dok_NrPelny,dok_DataWyst,ob_TowId,tw_Nazwa,tw_Symbol
PA 1506/11/2021,2021-11-06,1,Brodomir - olejek do brody i zarostu,4S40100
PA 2023/12/2021,2021-12-23,1,Brodomir - olejek do brody i zarostu,4S40100
PA 28/05/2021,2021-05-25,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 173/06/2021,2021-06-11,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 177/06/2021,2021-06-11,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 566/07/2021,2021-07-29,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 615/08/2021,2021-08-04,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 624/08/2021,2021-08-04,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 627/08/2021,2021-08-04,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 841/08/2021,2021-08-31,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 1008/09/2021,2021-09-17,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 1192/10/2021,2021-10-07,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 1448/10/2021,2021-10-30,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 1717/12/2021,2021-12-01,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 17/01/2022,2022-01-05,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 446/02/2022,2022-02-21,2,Delikatny dezodorant w kremie mandarynkowy,4S40101
PA 51/05/2021,2021-05-27,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 99/06/2021,2021-06-02,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 153/06/2021,2021-06-09,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 154/06/2021,2021-06-09,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 325/06/2021,2021-06-29,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 416/07/2021,2021-07-10,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 486/07/2021,2021-07-20,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 531/07/2021,2021-07-24,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 589/07/2021,2021-07-31,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 597/08/2021,2021-08-02,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 699/08/2021,2021-08-13,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 704/08/2021,2021-08-13,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 793/08/2021,2021-08-25,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 902/09/2021,2021-09-06,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 976/09/2021,2021-09-13,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1298/10/2021,2021-10-18,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1434/10/2021,2021-10-30,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1463/11/2021,2021-11-03,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1474/11/2021,2021-11-04,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1505/11/2021,2021-11-06,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1573/11/2021,2021-11-15,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1643/11/2021,2021-11-23,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1712/12/2021,2021-12-01,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1792/12/2021,2021-12-09,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1843/12/2021,2021-12-15,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1855/12/2021,2021-12-16,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 1909/12/2021,2021-12-18,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 11/01/2022,2022-01-04,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 90/01/2022,2022-01-14,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 207/01/2022,2022-01-24,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 257/01/2022,2022-01-31,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 400/02/2022,2022-02-16,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 444/02/2022,2022-02-21,3,Dezodorant w kremie cytrusowo-ziołowy,4S40102
PA 141/06/2021,2021-06-08,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 975/09/2021,2021-09-13,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1033/09/2021,2021-09-18,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1111/09/2021,2021-09-27,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1169/10/2021,2021-10-05,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1187/10/2021,2021-10-06,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1304/10/2021,2021-10-18,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1357/10/2021,2021-10-25,4,Mus do ciała Konopie i Pomarańcza,4S40103
PA 1436/10/2021,2021-10-30,4,Mus do ciała Konopie i Pomarańcza,4S40103
